CID,TeamID,Attributes
00,0,left
01,0,front
02,0,front
03,0,front
04,0,front
05,1,front
06,1,front
07,1,front
08,1,front
09,1,front
10,2,left
11,2
12,2
13,2
14,0
15,0
16,0
17,0
18,0
19,0
20,4,left
21,4
22,4
23,4
24,0
25,0
26,0
27,0
28,0
29,0
30,6,left
31,6
32,6
33,6
34,6
35,7
36,7
37,7
38,7
39,7
40,8,left
41,8
42,8
43,8
44,8
45,9
46,9,broken
47,9,broken
48,9
49,9
50,10,left
51,10
52,10
53,10
54,1
55,11
56,11,broken
57,11,broken
58,11
59,11
60,12,left
61,12
62,12
63,12
64,1
65,13
66,13,broken
67,13,broken
68,13
69,13
70,14,left
71,14
72,14
73,14
74,1
75,15
76,15
77,15
78,15
79,15
80,16,left
81,16
82,16
83,16
84,16
85,17
86,17
87,17
88,17
89,17
90,18,left
91,18,back
92,18,back
93,18,back
94,18,back
95,19,back
96,19,back
97,19,back
98,19,back
99,19,back
