CID,TeamID,Attributes
00, ,front
01, ,front
02,0,front
03,0,front
04,1,aisleleft,front
05,1,aisleright,front
06,1,front
07,1,front
08,2,front
09,2,front
10,0,left
11,0
12,1
13,1
14,2,aisleleft
15,2,aisleright
16,3
17,3
18, 
19, 
20, ,left
21,33
22,33
23,32
24,32,aisleleft
25,26,aisleright
26,26
27,25
28,25
29, 
30, ,left
31,33
32,33
33,32
34,32,aisleleft
35,26,aisleright
36,26
37,25
38,25
39, ,broken
40, ,left
41,34
42,34
43,31
44,31,aisleleft
45,28,aisleright
46,28
47,27
48,27
49,12,broken
50, ,left
51,34
52,34
53,31
54,31,aisleleft
55,28,aisleright
56,28
57,27
58,27
59, 
60, ,left,broken
61,29
62,29
63,30
64,30,aisleleft
65,35,aisleright
66,35
67,36
68,36
69, 
70, ,left
71,29
72,29
73,30
74,30,aisleleft
75,35,aisleright
76,35
77,36
78,36
79, 
80, ,left
81, 
82,20
83,20
84,21,aisleleft
85,21,aisleright
86,21
87,21
88,22
89,22
90,20,back
91,20,back
92,21,back
93,21,back
94,22,aisleleft,back
95,22,aisleright,back
96,23,back
97,23,back
98, ,back
99, ,back
