CID,TeamID,Attributes
00,0,front
01,0,front
02,1,front
03,1,front
04,2,front
05,2,front
06,3,front
07,3,front
08,4,front
09,4,front
10,5
11,5
12,6
13,6
14,7,left
15,7,left
16,8
17,8
18,9
19,9
20,10
21,10
22,11
23,11
24,12,left
25,12,left
26,13
27,13
28,14
29,14
30,15
31,15
32,16
33,16
34,17
35,17,aisleleft
36,18
37,18
38,19
39,19
40,20
41,20
42,21
43,21
44,22
45,22,aisleleft
46,23
47,23
48,24
49,24
50,25
51,25
52,26
53,26
54,27
55,27,aisleleft
56,28
57,28
58,29
59,29
60,30
61,30
62,31
63,31
64,32
65,32
66,33
67,33
68,34
69,34
70,35
71,35
72,36
73,36
74,37
75,37
76,38
77,38
78,39
79,39
80,40
81,40
82,41
83,41
84,42
85,42
86,43
87,43
88,44
89,44
90,45,back
91,45,back
92,46,back
93,46,back
94,47,back
95,47,back
96,48,back
97,48,back
98,49,back
99,49,back
