PID,StudentName,VIP,Score,CID,TeamID,Priority Score,Unsatisfied Preferences
163980,38,False,2,00,0,0 of 1,b
813616,60,False,4,01,0,0 of 1,f
75190,51,False,4,02,0,0 of 2,|f||l|
879928,47,False,4,03,0,0 of 2,|l||a|
672395,39,False,3,04,1,NULL,
783718,93,False,4,05,1,NULL,
943019,90,False,2,06,1,NULL,
297147,11,False,3,07,1,NULL,
25775,83,False,1,08,2,NULL,
634820,19,False,2,09,2,0 of 1,l
865578,64,True,1,10,2,0 of 2,|a||b|
417485,71,True,1,11,2,NULL,
600789,8,False,3,12,3,NULL,
858687,17,False,2,13,3,NULL,
709445,4,False,1,14,3,NULL,
361563,44,False,3,15,3,NULL,
750491,0,True,4,16,4,0 of 1,l
231194,52,False,4,17,4,NULL,
50382,65,False,2,18,4,0 of 2,|b||a|
9039,97,False,2,19,4,0 of 2,|a||f|
32874,24,False,2,20,5,NULL,
908073,59,True,4,21,5,NULL,
657034,75,False,2,22,5,0 of 2,|l||f|
371301,69,False,2,23,5,0 of 2,|b||a|
665614,96,True,1,24,6,0 of 1,f
58780,89,False,3,25,6,0 of 1,l
241843,72,True,1,26,6,0 of 1,a
257213,15,False,2,27,6,0 of 1,l
997534,14,False,4,28,7,0 of 2,|l||a|
601261,10,False,2,29,7,0 of 1,a
591957,55,False,1,30,7,0 of 1,f
271294,6,False,4,31,7,0 of 1,a
591319,3,False,1,32,8,0 of 2,|l||a|
121833,98,False,2,33,8,NULL,
815802,48,False,2,34,8,NULL,
632436,49,False,3,35,8,0 of 2,|a||b|
832879,81,False,2,36,9,NULL,
828141,82,False,1,37,9,0 of 1,b
643093,91,False,3,38,9,NULL,
945112,79,False,3,39,9,0 of 1,b
911352,63,False,1,40,10,NULL,
315584,58,False,4,41,10,0 of 1,f
128968,87,False,3,42,10,0 of 2,|a||l|
839507,45,True,4,43,10,NULL,
307986,25,False,2,44,11,0 of 1,a
783928,20,False,1,45,11,NULL,
394849,62,False,4,46,11,0 of 1,f
977090,2,False,4,47,11,0 of 1,b
123172,18,False,4,48,12,0 of 2,|f||l|
130336,68,False,4,49,12,0 of 1,b
2828,27,False,3,50,12,NULL,
207612,23,False,3,51,12,NULL,
99099,12,False,4,52,13,0 of 1,b
103031,66,False,3,53,13,0 of 1,l
744050,31,False,4,54,13,0 of 1,a
912314,94,False,3,55,13,0 of 1,f
928694,61,True,2,56,14,0 of 2,|a||b|
177749,50,False,3,57,14,NULL,
426055,43,False,1,58,14,0 of 1,b
596054,26,False,2,59,14,NULL,
880390,35,False,4,60,15,0 of 1,l
405731,46,False,2,61,15,0 of 1,l
128983,40,False,4,62,15,0 of 1,f
670809,28,False,3,63,15,0 of 1,f
993712,21,False,1,64,16,NULL,
755956,86,False,1,65,16,NULL,
510702,13,False,1,66,16,0 of 2,|b||f|
126101,92,False,1,67,16,0 of 2,|l||f|
807515,30,False,2,68,17,NULL,
804130,29,False,3,69,17,NULL,
493552,54,True,3,70,17,0 of 1,l
585536,74,False,2,71,17,0 of 1,l
566362,34,False,1,72,18,NULL,
461173,41,False,1,73,18,0 of 2,|l||a|
639930,88,False,4,74,18,0 of 2,|l||b|
346099,85,False,4,75,18,0 of 2,|a||f|
349578,53,True,2,76,19,0 of 1,a
563182,36,True,3,77,19,0 of 2,|b||l|
933787,1,False,1,78,19,NULL,
972993,78,False,1,79,19,NULL,
633699,37,False,1,80,20,0 of 2,|l||b|
356372,33,False,2,81,20,0 of 1,b
195948,73,False,3,82,20,NULL,
585475,84,False,2,83,20,0 of 1,b
182304,9,False,2,84,21,NULL,
411368,99,False,2,85,21,0 of 1,l
201733,57,False,2,86,21,0 of 1,a
288604,77,False,4,87,21,NULL,
18221,16,False,4,88,22,0 of 1,a
923574,5,False,3,89,22,NULL,
174099,67,False,1,90,22,NULL,
974756,42,True,1,91,22,NULL,
271466,80,False,4,92,23,0 of 2,|f||b|
535646,70,False,3,93,23,NULL,
185218,7,False,4,94,23,0 of 1,b
3490,76,False,4,95,23,NULL,
127620,95,False,1,96,24,0 of 1,b
823262,56,False,3,97,24,0 of 1,b
576870,22,False,1,98,24,NULL,
791319,32,False,1,99,24,0 of 2,|b||l|
