PID,StudentName,CID,TeamID
163980,38,00,0
813616,60,01,0
75190,51,02,0
879928,47,03,0
672395,39,04,1
783718,93,05,1
943019,90,06,1
297147,11,07,1
25775,83,08,2
634820,19,09,2
865578,64,10,2
417485,71,11,2
600789,8,12,3
858687,17,13,3
709445,4,14,3
361563,44,15,3
750491,0,16,4
231194,52,17,4
50382,65,18,4
9039,97,19,4
32874,24,20,5
908073,59,21,5
657034,75,22,5
371301,69,23,5
665614,96,24,6
58780,89,25,6
241843,72,26,6
257213,15,27,6
997534,14,28,7
601261,10,29,7
591957,55,30,7
271294,6,31,7
591319,3,32,8
121833,98,33,8
815802,48,34,8
632436,49,35,8
832879,81,36,9
828141,82,37,9
643093,91,38,9
945112,79,39,9
911352,63,40,10
315584,58,41,10
128968,87,42,10
839507,45,43,10
307986,25,44,11
783928,20,45,11
394849,62,46,11
977090,2,47,11
123172,18,48,12
130336,68,49,12
2828,27,50,12
207612,23,51,12
99099,12,52,13
103031,66,53,13
744050,31,54,13
912314,94,55,13
928694,61,56,14
177749,50,57,14
426055,43,58,14
596054,26,59,14
880390,35,60,15
405731,46,61,15
128983,40,62,15
670809,28,63,15
993712,21,64,16
755956,86,65,16
510702,13,66,16
126101,92,67,16
807515,30,68,17
804130,29,69,17
493552,54,70,17
585536,74,71,17
566362,34,72,18
461173,41,73,18
639930,88,74,18
346099,85,75,18
349578,53,76,19
563182,36,77,19
933787,1,78,19
972993,78,79,19
633699,37,80,20
356372,33,81,20
195948,73,82,20
585475,84,83,20
182304,9,84,21
411368,99,85,21
201733,57,86,21
288604,77,87,21
18221,16,88,22
923574,5,89,22
174099,67,90,22
974756,42,91,22
271466,80,92,23
535646,70,93,23
185218,7,94,23
3490,76,95,23
127620,95,96,24
823262,56,97,24
576870,22,98,24
791319,32,99,24
