PID,StudentName,VIP,Score,CID,TeamID,Priority Score,Unsatisfied Preferences
3490,76,False,4,00,0,NULL,
50382,65,False,2,01,0,0 of 2,b;a
127620,95,False,1,02,1,0 of 1,b
18221,16,False,4,03,1,0 of 1,a
123172,18,False,4,04,2,0 of 2,f;l
426055,43,False,1,05,2,0 of 1,b
832879,81,False,2,06,3,NULL,
207612,23,False,3,07,3,NULL,
632436,49,False,3,08,4,0 of 2,a;b
839507,45,True,4,09,4,NULL,
163980,38,False,2,10,5,0 of 1,b
493552,54,True,3,11,5,0 of 1,l
25775,83,False,1,12,6,NULL,
993712,21,False,1,13,6,NULL,
58780,89,False,3,14,7,0 of 1,l
997534,14,False,4,15,7,0 of 2,l;a
709445,4,False,1,16,8,NULL,
945112,79,False,3,17,8,0 of 1,b
103031,66,False,3,18,9,0 of 1,l
315584,58,False,4,19,9,0 of 1,f
349578,53,True,2,20,10,0 of 1,a
823262,56,False,3,21,10,0 of 1,b
271294,6,False,4,22,11,0 of 1,a
346099,85,False,4,23,11,0 of 2,a;f
288604,77,False,4,24,12,NULL,
634820,19,False,2,25,12,0 of 1,l
510702,13,False,1,26,13,0 of 2,b;f
99099,12,False,4,27,13,0 of 1,b
813616,60,False,4,28,14,0 of 1,f
755956,86,False,1,29,14,NULL,
807515,30,False,2,30,15,NULL,
879928,47,False,4,31,15,0 of 2,l;a
750491,0,True,4,32,16,0 of 1,l
271466,80,False,4,33,16,0 of 2,f;b
858687,17,False,2,34,17,NULL,
231194,52,False,4,35,17,NULL,
600789,8,False,3,36,18,NULL,
880390,35,False,4,37,18,0 of 1,l
744050,31,False,4,38,19,0 of 1,a
591957,55,False,1,39,19,0 of 1,f
657034,75,False,2,40,20,0 of 2,l;f
566362,34,False,1,41,20,NULL,
297147,11,False,3,42,21,NULL,
128968,87,False,3,43,21,0 of 2,a;l
585536,74,False,2,44,22,0 of 1,l
791319,32,False,1,45,22,0 of 2,b;l
2828,27,False,3,46,23,NULL,
405731,46,False,2,47,23,0 of 1,l
783928,20,False,1,48,24,NULL,
9039,97,False,2,49,24,0 of 2,a;f
576870,22,False,1,50,25,NULL,
591319,3,False,1,51,25,0 of 2,l;a
195948,73,False,3,52,26,NULL,
911352,63,False,1,53,26,NULL,
535646,70,False,3,54,27,NULL,
257213,15,False,2,55,27,0 of 1,l
32874,24,False,2,56,28,NULL,
241843,72,True,1,57,28,0 of 1,a
783718,93,False,4,58,29,NULL,
908073,59,True,4,59,29,NULL,
130336,68,False,4,60,30,0 of 1,b
585475,84,False,2,61,30,0 of 1,b
177749,50,False,3,62,31,NULL,
307986,25,False,2,63,31,0 of 1,a
672395,39,False,3,64,32,NULL,
665614,96,True,1,65,32,0 of 1,f
977090,2,False,4,66,33,0 of 1,b
174099,67,False,1,67,33,NULL,
596054,26,False,2,68,34,NULL,
411368,99,False,2,69,34,0 of 1,l
128983,40,False,4,70,35,0 of 1,f
185218,7,False,4,71,35,0 of 1,b
121833,98,False,2,72,36,NULL,
356372,33,False,2,73,36,0 of 1,b
923574,5,False,3,74,37,NULL,
828141,82,False,1,75,37,0 of 1,b
394849,62,False,4,76,38,0 of 1,f
201733,57,False,2,77,38,0 of 1,a
361563,44,False,3,78,39,NULL,
933787,1,False,1,79,39,NULL,
75190,51,False,4,80,40,0 of 2,f;l
804130,29,False,3,81,40,NULL,
670809,28,False,3,82,41,0 of 1,f
943019,90,False,2,83,41,NULL,
633699,37,False,1,84,42,0 of 2,l;b
643093,91,False,3,85,42,NULL,
928694,61,True,2,86,43,0 of 2,a;b
865578,64,True,1,87,43,0 of 2,a;b
815802,48,False,2,88,44,NULL,
182304,9,False,2,89,44,NULL,
461173,41,False,1,90,45,0 of 2,l;a
974756,42,True,1,91,45,NULL,
601261,10,False,2,92,46,0 of 1,a
912314,94,False,3,93,46,0 of 1,f
417485,71,True,1,94,47,NULL,
371301,69,False,2,95,47,0 of 2,b;a
639930,88,False,4,96,48,0 of 2,l;b
563182,36,True,3,97,48,0 of 2,b;l
972993,78,False,1,98,49,NULL,
126101,92,False,1,99,49,0 of 2,l;f
