PID,StudentName,CID,TeamID
201733,57,00,0
933787,1,01,0
130336,68,02,0
127620,95,03,0
349578,53,04,0
493552,54,14,0
912314,94,15,0
832879,81,16,0
791319,32,17,0
371301,69,18,0
807515,30,19,0
163980,38,24,0
923574,5,25,0
58780,89,26,0
315584,58,27,0
417485,71,28,0
356372,33,29,0
943019,90,05,1
928694,61,06,1
591957,55,07,1
50382,65,08,1
665614,96,09,1
426055,43,54,1
804130,29,64,1
182304,9,74,1
657034,75,10,2
411368,99,11,2
576870,22,12,2
307986,25,13,2
974756,42,20,4
977090,2,21,4
709445,4,22,4
288604,77,23,4
585475,84,30,6
126101,92,31,6
271466,80,32,6
993712,21,33,6
600789,8,34,6
783718,93,35,7
879928,47,36,7
596054,26,37,7
865578,64,38,7
461173,41,39,7
639930,88,40,8
405731,46,41,8
632436,49,42,8
945112,79,43,8
813616,60,44,8
271294,6,45,9
634820,19,46,9
823262,56,47,9
535646,70,48,9
103031,66,49,9
755956,86,50,10
18221,16,51,10
231194,52,52,10
361563,44,53,10
670809,28,55,11
128983,40,56,11
185218,7,57,11
2828,27,58,11
9039,97,59,11
643093,91,60,12
880390,35,61,12
195948,73,62,12
75190,51,63,12
510702,13,65,13
783928,20,66,13
563182,36,67,13
601261,10,68,13
207612,23,69,13
750491,0,70,14
32874,24,71,14
25775,83,72,14
121833,98,73,14
672395,39,75,15
174099,67,76,15
128968,87,77,15
346099,85,78,15
744050,31,79,15
972993,78,80,16
297147,11,81,16
177749,50,82,16
123172,18,83,16
394849,62,84,16
839507,45,85,17
585536,74,86,17
99099,12,87,17
241843,72,88,17
566362,34,89,17
828141,82,90,18
3490,76,91,18
815802,48,92,18
911352,63,93,18
997534,14,94,18
858687,17,95,19
257213,15,96,19
591319,3,97,19
908073,59,98,19
633699,37,99,19
