PID,StudentName,VIP,Score,CID,TeamID,Priority Score,Unsatisfied Preferences
550816,37,False,2,00,0,NULL,
500968,34,False,3,01,0,0 of 2,b;l
324079,15,False,3,02,0,0 of 2,l;a
797762,9,False,3,03,0,0 of 1,l
224213,82,False,3,04,1,0 of 2,f;a
300895,60,False,1,05,1,NULL,
428013,74,True,3,06,1,0 of 2,f;l
724922,64,False,4,07,1,0 of 2,b;f
346669,91,False,2,08,2,0 of 1,a
613882,84,False,2,09,2,0 of 1,b
967291,88,False,3,10,2,0 of 2,f;l
313291,0,False,2,11,2,NULL,
613286,28,False,4,12,3,0 of 1,a
917867,79,False,4,13,3,0 of 1,a
721972,10,False,4,14,3,0 of 1,l
110569,6,False,2,15,3,NULL,
338868,53,False,2,16,4,0 of 1,l
704861,43,True,3,17,4,NULL,
347660,86,False,3,18,4,0 of 1,a
206405,39,False,2,19,4,NULL,
276710,54,False,3,20,5,0 of 1,l
566842,46,False,3,21,5,0 of 2,l;a
216142,51,False,4,22,5,0 of 1,l
643005,30,False,2,23,5,0 of 1,a
190188,76,False,3,24,6,0 of 1,f
286463,81,False,4,25,6,NULL,
315166,25,False,2,26,6,0 of 2,f;l
842068,69,False,3,27,6,NULL,
278491,95,False,2,28,7,0 of 1,b
763523,50,False,2,29,7,NULL,
18675,17,False,3,30,7,0 of 2,a;f
469732,99,True,4,31,7,0 of 1,l
721782,7,False,2,32,8,0 of 2,f;a
199754,63,False,4,33,8,0 of 1,a
113174,62,False,3,34,8,0 of 2,l;b
546068,24,False,3,35,8,0 of 1,a
542118,87,True,2,36,9,NULL,
789649,18,False,1,37,9,0 of 2,a;f
84213,97,False,2,38,9,0 of 2,l;f
264427,93,False,4,39,9,0 of 1,f
386832,27,False,3,40,10,0 of 2,b;l
737511,90,False,3,41,10,0 of 1,l
724790,47,False,2,42,10,0 of 2,l;a
888311,72,False,1,43,10,0 of 2,a;b
661462,21,False,1,44,11,NULL,
819954,77,False,1,45,11,0 of 2,l;a
281699,33,False,4,46,11,0 of 1,l
828700,65,False,4,47,11,0 of 1,f
519988,38,False,4,48,12,0 of 1,f
107816,26,False,4,49,12,0 of 2,a;f
598348,8,False,3,50,12,0 of 1,b
379529,92,False,1,51,12,0 of 1,l
370045,89,False,3,52,13,0 of 1,a
103939,22,False,4,53,13,NULL,
510166,68,False,2,54,13,0 of 1,b
423124,41,False,3,55,13,NULL,
225211,2,False,2,56,14,0 of 1,f
175034,20,False,1,57,14,0 of 1,f
847476,56,False,3,58,14,0 of 1,a
441064,80,True,2,59,14,NULL,
101541,36,False,3,60,15,0 of 1,l
201194,16,False,2,61,15,0 of 1,l
669506,32,False,2,62,15,0 of 1,b
897626,45,False,1,63,15,0 of 1,f
929345,71,False,3,64,16,NULL,
41122,1,False,2,65,16,0 of 1,f
550267,67,False,2,66,16,0 of 2,f;l
453877,11,True,1,67,16,0 of 1,l
792490,23,False,1,68,17,0 of 1,a
368335,29,False,3,69,17,0 of 1,l
473254,59,False,4,70,17,NULL,
255582,70,False,4,71,17,0 of 1,b
138130,19,False,2,72,18,0 of 1,b
561912,66,False,4,73,18,0 of 1,a
757213,14,False,2,74,18,0 of 2,b;l
912662,98,False,1,75,18,0 of 1,f
143197,85,False,3,76,19,0 of 1,a
944952,31,False,2,77,19,0 of 2,a;l
410664,73,False,4,78,19,NULL,
259756,40,False,2,79,19,0 of 2,f;a
138155,48,False,3,80,20,0 of 1,f
575601,42,False,1,81,20,NULL,
913784,4,False,3,82,20,0 of 1,l
458861,94,False,4,83,20,0 of 2,l;f
372111,61,False,1,84,21,0 of 1,a
127088,96,False,4,85,21,0 of 2,f;b
308482,78,False,3,86,21,0 of 1,b
621136,58,False,1,87,21,0 of 1,l
596513,35,False,2,88,22,0 of 2,a;f
749686,12,False,1,89,22,NULL,
11133,49,False,1,90,22,0 of 2,l;f
65418,75,False,1,91,22,0 of 2,b;l
271476,83,False,3,92,23,0 of 1,l
116034,3,False,1,93,23,0 of 2,f;a
128209,57,False,1,94,23,0 of 1,b
353717,52,False,2,95,23,0 of 1,f
616520,44,False,1,96,24,NULL,
220873,5,True,4,97,24,0 of 1,a
256622,55,False,4,98,24,0 of 2,l;a
285115,13,False,3,99,24,0 of 1,l
