PID,StudentName,VIP,Score,CID,TeamID,Priority Score,Unsatisfied Preferences
127620,95,False,1,00,0,0 of 1,b
195948,73,False,3,01,0,NULL,
307986,25,False,2,02,0,0 of 1,a
207612,23,False,3,03,0,NULL,
783928,20,False,1,04,1,NULL,
804130,29,False,3,05,1,NULL,
426055,43,False,1,06,1,0 of 1,b
634820,19,False,2,07,1,0 of 1,l
601261,10,False,2,08,2,0 of 1,a
315584,58,False,4,09,2,0 of 1,f
670809,28,False,3,10,2,0 of 1,f
865578,64,True,1,11,2,0 of 2,|a||b|
791319,32,False,1,12,3,0 of 2,|b||l|
32874,24,False,2,13,3,NULL,
807515,30,False,2,14,3,NULL,
912314,94,False,3,15,3,0 of 1,f
257213,15,False,2,16,4,0 of 1,l
535646,70,False,3,17,4,NULL,
123172,18,False,4,18,4,0 of 2,|f||l|
839507,45,True,4,19,4,NULL,
346099,85,False,4,20,5,0 of 2,|a||f|
911352,63,False,1,21,5,NULL,
755956,86,False,1,22,5,NULL,
672395,39,False,3,23,5,NULL,
356372,33,False,2,24,6,0 of 1,b
585475,84,False,2,25,6,0 of 1,b
750491,0,True,4,26,6,0 of 1,l
493552,54,True,3,27,6,0 of 1,l
177749,50,False,3,28,7,NULL,
823262,56,False,3,29,7,0 of 1,b
185218,7,False,4,30,7,0 of 1,b
563182,36,True,3,31,7,0 of 2,|b||l|
928694,61,True,2,32,8,0 of 2,|a||b|
163980,38,False,2,33,8,0 of 1,b
783718,93,False,4,34,8,NULL,
815802,48,False,2,35,8,NULL,
25775,83,False,1,36,9,NULL,
99099,12,False,4,37,9,0 of 1,b
879928,47,False,4,38,9,0 of 2,|l||a|
9039,97,False,2,39,9,0 of 2,|a||f|
591957,55,False,1,40,10,0 of 1,f
241843,72,True,1,41,10,0 of 1,a
297147,11,False,3,42,10,NULL,
461173,41,False,1,43,10,0 of 2,|l||a|
510702,13,False,1,44,11,0 of 2,|b||f|
405731,46,False,2,45,11,0 of 1,l
632436,49,False,3,46,11,0 of 2,|a||b|
813616,60,False,4,47,11,0 of 1,f
50382,65,False,2,48,12,0 of 2,|b||a|
128968,87,False,3,49,12,0 of 2,|a||l|
643093,91,False,3,50,12,NULL,
18221,16,False,4,51,12,0 of 1,a
411368,99,False,2,52,13,0 of 1,l
371301,69,False,2,53,13,0 of 2,|b||a|
923574,5,False,3,54,13,NULL,
128983,40,False,4,55,13,0 of 1,f
977090,2,False,4,56,14,0 of 1,b
576870,22,False,1,57,14,NULL,
639930,88,False,4,58,14,0 of 2,|l||b|
600789,8,False,3,59,14,NULL,
394849,62,False,4,60,15,0 of 1,f
271294,6,False,4,61,15,0 of 1,a
182304,9,False,2,62,15,NULL,
972993,78,False,1,63,15,NULL,
349578,53,True,2,64,16,0 of 1,a
945112,79,False,3,65,16,0 of 1,b
126101,92,False,1,66,16,0 of 2,|l||f|
271466,80,False,4,67,16,0 of 2,|f||b|
880390,35,False,4,68,17,0 of 1,l
103031,66,False,3,69,17,0 of 1,l
231194,52,False,4,70,17,NULL,
174099,67,False,1,71,17,NULL,
709445,4,False,1,72,18,NULL,
993712,21,False,1,73,18,NULL,
633699,37,False,1,74,18,0 of 2,|l||b|
828141,82,False,1,75,18,0 of 1,b
591319,3,False,1,76,19,0 of 2,|l||a|
201733,57,False,2,77,19,0 of 1,a
75190,51,False,4,78,19,0 of 2,|f||l|
657034,75,False,2,79,19,0 of 2,|l||f|
288604,77,False,4,80,20,NULL,
121833,98,False,2,81,20,NULL,
130336,68,False,4,82,20,0 of 1,b
58780,89,False,3,83,20,0 of 1,l
585536,74,False,2,84,21,0 of 1,l
361563,44,False,3,85,21,NULL,
933787,1,False,1,86,21,NULL,
744050,31,False,4,87,21,0 of 1,a
566362,34,False,1,88,22,NULL,
417485,71,True,1,89,22,NULL,
943019,90,False,2,90,22,NULL,
974756,42,True,1,91,22,NULL,
665614,96,True,1,92,23,0 of 1,f
3490,76,False,4,93,23,NULL,
596054,26,False,2,94,23,NULL,
908073,59,True,4,95,23,NULL,
832879,81,False,2,96,24,NULL,
997534,14,False,4,97,24,0 of 2,|l||a|
858687,17,False,2,98,24,NULL,
2828,27,False,3,99,24,NULL,
