PID,StudentName,CID,TeamID
130336,68,00,0
2828,27,01,0
828141,82,02,0
123172,18,03,0
563182,36,04,1
231194,52,05,1
207612,23,06,1
823262,56,07,1
307986,25,08,2
18221,16,09,2
411368,99,10,2
813616,60,11,2
361563,44,12,3
3490,76,13,3
933787,1,14,3
879928,47,15,3
271294,6,16,4
632436,49,17,4
99099,12,18,4
858687,17,19,4
426055,43,20,5
185218,7,21,5
880390,35,22,5
750491,0,23,5
591957,55,24,6
865578,64,25,6
195948,73,26,6
566362,34,27,6
25775,83,28,7
493552,54,29,7
121833,98,30,7
804130,29,31,7
744050,31,32,8
510702,13,33,8
755956,86,34,8
945112,79,35,8
665614,96,36,9
912314,94,37,9
672395,39,38,9
535646,70,39,9
633699,37,40,10
832879,81,41,10
346099,85,42,10
634820,19,43,10
657034,75,44,11
9039,97,45,11
127620,95,46,11
791319,32,47,11
128968,87,48,12
591319,3,49,12
709445,4,50,12
807515,30,51,12
32874,24,52,13
977090,2,53,13
908073,59,54,13
349578,53,55,13
585536,74,56,14
271466,80,57,14
288604,77,58,14
50382,65,59,14
371301,69,60,15
997534,14,61,15
163980,38,62,15
174099,67,63,15
815802,48,64,16
974756,42,65,16
297147,11,66,16
783928,20,67,16
972993,78,68,17
576870,22,69,17
639930,88,70,17
993712,21,71,17
600789,8,72,18
182304,9,73,18
585475,84,74,18
911352,63,75,18
394849,62,76,19
126101,92,77,19
596054,26,78,19
923574,5,79,19
601261,10,80,20
177749,50,81,20
103031,66,82,20
417485,71,83,20
839507,45,84,21
461173,41,85,21
201733,57,86,21
670809,28,87,21
128983,40,88,22
943019,90,89,22
928694,61,90,22
241843,72,91,22
257213,15,92,23
783718,93,93,23
643093,91,94,23
315584,58,95,23
356372,33,96,24
405731,46,97,24
75190,51,98,24
58780,89,99,24
