PID,StudentName,VIP,Score,CID,TeamID,Priority Score,Unsatisfied Preferences
220873,5,True,4,00,0,0 of 1,a
256622,55,False,4,01,0,0 of 2,l;a
101541,36,False,3,02,0,0 of 1,l
842068,69,False,3,03,0,NULL,
138155,48,False,3,04,1,0 of 1,f
596513,35,False,2,05,1,0 of 2,a;f
453877,11,True,1,06,1,0 of 1,l
286463,81,False,4,07,1,NULL,
500968,34,False,3,08,2,0 of 2,b;l
315166,25,False,2,09,2,0 of 2,f;l
370045,89,False,3,10,2,0 of 1,a
225211,2,False,2,11,2,0 of 1,f
561912,66,False,4,12,3,0 of 1,a
190188,76,False,3,13,3,0 of 1,f
206405,39,False,2,14,3,NULL,
224213,82,False,3,15,3,0 of 2,f;a
621136,58,False,1,16,4,0 of 1,l
11133,49,False,1,17,4,0 of 2,l;f
107816,26,False,4,18,4,0 of 2,a;f
510166,68,False,2,19,4,0 of 1,b
669506,32,False,2,20,5,0 of 1,b
110569,6,False,2,21,5,NULL,
278491,95,False,2,22,5,0 of 1,b
379529,92,False,1,23,5,0 of 1,l
819954,77,False,1,24,6,0 of 2,l;a
313291,0,False,2,25,6,NULL,
749686,12,False,1,26,6,NULL,
721782,7,False,2,27,6,0 of 2,f;a
643005,30,False,2,28,7,0 of 1,a
276710,54,False,3,29,7,0 of 1,l
550816,37,False,2,30,7,NULL,
143197,85,False,3,31,7,0 of 1,a
792490,23,False,1,32,8,0 of 1,a
386832,27,False,3,33,8,0 of 2,b;l
546068,24,False,3,34,8,0 of 1,a
888311,72,False,1,35,8,0 of 2,a;b
199754,63,False,4,36,9,0 of 1,a
929345,71,False,3,37,9,NULL,
308482,78,False,3,38,9,0 of 1,b
789649,18,False,1,39,9,0 of 2,a;f
944952,31,False,2,40,10,0 of 2,a;l
704861,43,True,3,41,10,NULL,
216142,51,False,4,42,10,0 of 1,l
613882,84,False,2,43,10,0 of 1,b
347660,86,False,3,44,11,0 of 1,a
550267,67,False,2,45,11,0 of 2,f;l
797762,9,False,3,46,11,0 of 1,l
264427,93,False,4,47,11,0 of 1,f
255582,70,False,4,48,12,0 of 1,b
84213,97,False,2,49,12,0 of 2,l;f
441064,80,True,2,50,12,NULL,
519988,38,False,4,51,12,0 of 1,f
616520,44,False,1,52,13,NULL,
138130,19,False,2,53,13,0 of 1,b
116034,3,False,1,54,13,0 of 2,f;a
575601,42,False,1,55,13,NULL,
423124,41,False,3,56,14,NULL,
912662,98,False,1,57,14,0 of 1,f
913784,4,False,3,58,14,0 of 1,l
372111,61,False,1,59,14,0 of 1,a
346669,91,False,2,60,15,0 of 1,a
410664,73,False,4,61,15,NULL,
598348,8,False,3,62,15,0 of 1,b
661462,21,False,1,63,15,NULL,
201194,16,False,2,64,16,0 of 1,l
324079,15,False,3,65,16,0 of 2,l;a
428013,74,True,3,66,16,0 of 2,f;l
271476,83,False,3,67,16,0 of 1,l
473254,59,False,4,68,17,NULL,
721972,10,False,4,69,17,0 of 1,l
724922,64,False,4,70,17,0 of 2,b;f
353717,52,False,2,71,17,0 of 1,f
175034,20,False,1,72,18,0 of 1,f
41122,1,False,2,73,18,0 of 1,f
763523,50,False,2,74,18,NULL,
757213,14,False,2,75,18,0 of 2,b;l
737511,90,False,3,76,19,0 of 1,l
65418,75,False,1,77,19,0 of 2,b;l
542118,87,True,2,78,19,NULL,
458861,94,False,4,79,19,0 of 2,l;f
613286,28,False,4,80,20,0 of 1,a
724790,47,False,2,81,20,0 of 2,l;a
967291,88,False,3,82,20,0 of 2,f;l
103939,22,False,4,83,20,NULL,
18675,17,False,3,84,21,0 of 2,a;f
469732,99,True,4,85,21,0 of 1,l
368335,29,False,3,86,21,0 of 1,l
828700,65,False,4,87,21,0 of 1,f
847476,56,False,3,88,22,0 of 1,a
285115,13,False,3,89,22,0 of 1,l
300895,60,False,1,90,22,NULL,
897626,45,False,1,91,22,0 of 1,f
338868,53,False,2,92,23,0 of 1,l
281699,33,False,4,93,23,0 of 1,l
127088,96,False,4,94,23,0 of 2,f;b
113174,62,False,3,95,23,0 of 2,l;b
259756,40,False,2,96,24,0 of 2,f;a
566842,46,False,3,97,24,0 of 2,l;a
128209,57,False,1,98,24,0 of 1,b
917867,79,False,4,99,24,0 of 1,a
