PID,StudentName,CID,TeamID
256622,55,00,0
721972,10,01,0
428013,74,02,0
797762,9,03,0
113174,62,04,1
917867,79,05,1
598348,8,06,1
613286,28,07,1
913784,4,08,2
107816,26,09,2
308482,78,10,2
441064,80,11,2
792490,23,12,3
379529,92,13,3
264427,93,14,3
621136,58,15,3
510166,68,16,4
473254,59,17,4
944952,31,18,4
220873,5,19,4
370045,89,20,5
500968,34,21,5
138130,19,22,5
372111,61,23,5
353717,52,24,6
550267,67,25,6
721782,7,26,6
11133,49,27,6
224213,82,28,7
897626,45,29,7
286463,81,30,7
346669,91,31,7
546068,24,32,8
41122,1,33,8
757213,14,34,8
912662,98,35,8
789649,18,36,9
199754,63,37,9
613882,84,38,9
175034,20,39,9
561912,66,40,10
138155,48,41,10
110569,6,42,10
368335,29,43,10
338868,53,44,11
116034,3,45,11
749686,12,46,11
566842,46,47,11
724790,47,48,12
469732,99,49,12
847476,56,50,12
819954,77,51,12
410664,73,52,13
616520,44,53,13
18675,17,54,13
550816,37,55,13
596513,35,56,14
347660,86,57,14
458861,94,58,14
453877,11,59,14
101541,36,60,15
281699,33,61,15
661462,21,62,15
737511,90,63,15
225211,2,64,16
278491,95,65,16
315166,25,66,16
669506,32,67,16
259756,40,68,17
271476,83,69,17
423124,41,70,17
216142,51,71,17
190188,76,72,18
285115,13,73,18
575601,42,74,18
888311,72,75,18
842068,69,76,19
65418,75,77,19
143197,85,78,19
704861,43,79,19
127088,96,80,20
313291,0,81,20
103939,22,82,20
128209,57,83,20
724922,64,84,21
201194,16,85,21
519988,38,86,21
643005,30,87,21
324079,15,88,22
84213,97,89,22
206405,39,90,22
300895,60,91,22
386832,27,92,23
929345,71,93,23
276710,54,94,23
967291,88,95,23
828700,65,96,24
763523,50,97,24
542118,87,98,24
255582,70,99,24
