PID,StudentName,CID,TeamID
18221,16,00,0
315584,58,01,0
643093,91,02,0
356372,33,03,0
828141,82,04,1
657034,75,05,1
928694,61,06,1
815802,48,07,1
993712,21,08,2
911352,63,09,2
672395,39,10,2
709445,4,11,2
591957,55,12,3
912314,94,13,3
201733,57,14,3
185218,7,15,3
755956,86,16,4
2828,27,17,4
997534,14,18,4
865578,64,19,4
128983,40,20,5
349578,53,21,5
257213,15,22,5
945112,79,23,5
600789,8,24,6
943019,90,25,6
50382,65,26,6
163980,38,27,6
977090,2,28,7
58780,89,29,7
177749,50,30,7
121833,98,31,7
908073,59,32,8
783718,93,33,8
207612,23,34,8
307986,25,35,8
585475,84,36,9
591319,3,37,9
596054,26,38,9
9039,97,39,9
879928,47,40,10
417485,71,41,10
103031,66,42,10
670809,28,43,10
880390,35,44,11
346099,85,45,11
933787,1,46,11
832879,81,47,11
182304,9,48,12
633699,37,49,12
804130,29,50,12
813616,60,51,12
639930,88,52,13
361563,44,53,13
576870,22,54,13
195948,73,55,13
566362,34,56,14
231194,52,57,14
174099,67,58,14
634820,19,59,14
32874,24,60,15
297147,11,61,15
126101,92,62,15
394849,62,63,15
25775,83,64,16
974756,42,65,16
510702,13,66,16
665614,96,67,16
123172,18,68,17
750491,0,69,17
972993,78,70,17
563182,36,71,17
99099,12,72,18
271466,80,73,18
823262,56,74,18
535646,70,75,18
411368,99,76,19
241843,72,77,19
783928,20,78,19
461173,41,79,19
839507,45,80,20
288604,77,81,20
130336,68,82,20
371301,69,83,20
585536,74,84,21
807515,30,85,21
744050,31,86,21
493552,54,87,21
128968,87,88,22
858687,17,89,22
632436,49,90,22
923574,5,91,22
601261,10,92,23
426055,43,93,23
75190,51,94,23
127620,95,95,23
405731,46,96,24
3490,76,97,24
271294,6,98,24
791319,32,99,24
