PID,StudentName,VIP,Score,CID,TeamID,Priority Score,Unsatisfied Preferences
201733,57,False,2,00,0,0 of 1,a
933787,1,False,1,01,0,NULL,
130336,68,False,4,02,0,0 of 1,b
127620,95,False,1,03,0,0 of 1,b
349578,53,True,2,04,0,0 of 1,a
493552,54,True,3,14,0,0 of 1,l
912314,94,False,3,15,0,0 of 1,f
832879,81,False,2,16,0,NULL,
791319,32,False,1,17,0,0 of 2,|b||l|
371301,69,False,2,18,0,0 of 2,|b||a|
807515,30,False,2,19,0,NULL,
163980,38,False,2,24,0,0 of 1,b
923574,5,False,3,25,0,NULL,
58780,89,False,3,26,0,0 of 1,l
315584,58,False,4,27,0,0 of 1,f
417485,71,True,1,28,0,NULL,
356372,33,False,2,29,0,0 of 1,b
943019,90,False,2,05,1,NULL,
928694,61,True,2,06,1,0 of 2,|a||b|
591957,55,False,1,07,1,0 of 1,f
50382,65,False,2,08,1,0 of 2,|b||a|
665614,96,True,1,09,1,0 of 1,f
426055,43,False,1,54,1,0 of 1,b
804130,29,False,3,64,1,NULL,
182304,9,False,2,74,1,NULL,
657034,75,False,2,10,2,0 of 2,|l||f|
411368,99,False,2,11,2,0 of 1,l
576870,22,False,1,12,2,NULL,
307986,25,False,2,13,2,0 of 1,a
974756,42,True,1,20,4,NULL,
977090,2,False,4,21,4,0 of 1,b
709445,4,False,1,22,4,NULL,
288604,77,False,4,23,4,NULL,
585475,84,False,2,30,6,0 of 1,b
126101,92,False,1,31,6,0 of 2,|l||f|
271466,80,False,4,32,6,0 of 2,|f||b|
993712,21,False,1,33,6,NULL,
600789,8,False,3,34,6,NULL,
783718,93,False,4,35,7,NULL,
879928,47,False,4,36,7,0 of 2,|l||a|
596054,26,False,2,37,7,NULL,
865578,64,True,1,38,7,0 of 2,|a||b|
461173,41,False,1,39,7,0 of 2,|l||a|
639930,88,False,4,40,8,0 of 2,|l||b|
405731,46,False,2,41,8,0 of 1,l
632436,49,False,3,42,8,0 of 2,|a||b|
945112,79,False,3,43,8,0 of 1,b
813616,60,False,4,44,8,0 of 1,f
271294,6,False,4,45,9,0 of 1,a
634820,19,False,2,46,9,0 of 1,l
823262,56,False,3,47,9,0 of 1,b
535646,70,False,3,48,9,NULL,
103031,66,False,3,49,9,0 of 1,l
755956,86,False,1,50,10,NULL,
18221,16,False,4,51,10,0 of 1,a
231194,52,False,4,52,10,NULL,
361563,44,False,3,53,10,NULL,
670809,28,False,3,55,11,0 of 1,f
128983,40,False,4,56,11,0 of 1,f
185218,7,False,4,57,11,0 of 1,b
2828,27,False,3,58,11,NULL,
9039,97,False,2,59,11,0 of 2,|a||f|
643093,91,False,3,60,12,NULL,
880390,35,False,4,61,12,0 of 1,l
195948,73,False,3,62,12,NULL,
75190,51,False,4,63,12,0 of 2,|f||l|
510702,13,False,1,65,13,0 of 2,|b||f|
783928,20,False,1,66,13,NULL,
563182,36,True,3,67,13,0 of 2,|b||l|
601261,10,False,2,68,13,0 of 1,a
207612,23,False,3,69,13,NULL,
750491,0,True,4,70,14,0 of 1,l
32874,24,False,2,71,14,NULL,
25775,83,False,1,72,14,NULL,
121833,98,False,2,73,14,NULL,
672395,39,False,3,75,15,NULL,
174099,67,False,1,76,15,NULL,
128968,87,False,3,77,15,0 of 2,|a||l|
346099,85,False,4,78,15,0 of 2,|a||f|
744050,31,False,4,79,15,0 of 1,a
972993,78,False,1,80,16,NULL,
297147,11,False,3,81,16,NULL,
177749,50,False,3,82,16,NULL,
123172,18,False,4,83,16,0 of 2,|f||l|
394849,62,False,4,84,16,0 of 1,f
839507,45,True,4,85,17,NULL,
585536,74,False,2,86,17,0 of 1,l
99099,12,False,4,87,17,0 of 1,b
241843,72,True,1,88,17,0 of 1,a
566362,34,False,1,89,17,NULL,
828141,82,False,1,90,18,0 of 1,b
3490,76,False,4,91,18,NULL,
815802,48,False,2,92,18,NULL,
911352,63,False,1,93,18,NULL,
997534,14,False,4,94,18,0 of 2,|l||a|
858687,17,False,2,95,19,NULL,
257213,15,False,2,96,19,0 of 1,l
591319,3,False,1,97,19,0 of 2,|l||a|
908073,59,True,4,98,19,NULL,
633699,37,False,1,99,19,0 of 2,|l||b|
