PID,StudentName,VIP,Score,CID,TeamID,Priority Score,Unsatisfied Preferences
670809,28,FALSE,3,00,0,0 of 1,f
933787,1,FALSE,1,02,0,NULL,
461173,41,FALSE,1,03,0,0 of 2,l;a
349578,53,TRUE,2,04,1,0 of 1,a
807515,30,FALSE,2,05,1,NULL,
182304,9,FALSE,2,06,1,NULL,
880390,35,FALSE,4,08,2,0 of 1,l
123172,18,FALSE,4,09,2,0 of 2,f;l
103031,66,FALSE,3,10,2,0 of 1,l
993712,21,FALSE,1,11,2,NULL,
633699,37,FALSE,1,13,3,0 of 2,l;b
923574,5,FALSE,3,14,3,NULL,
804130,29,FALSE,3,15,3,NULL,
207612,23,FALSE,3,16,4,NULL,
177749,50,FALSE,3,17,4,NULL,
32874,24,FALSE,2,20,5,NULL,
839507,45,TRUE,4,21,5,NULL,
591319,3,FALSE,1,22,5,0 of 2,l;a
858687,17,FALSE,2,24,6,NULL,
908073,59,TRUE,4,25,6,NULL,
879928,47,FALSE,4,26,6,0 of 2,l;a
195948,73,FALSE,3,28,7,NULL,
493552,54,TRUE,3,29,7,0 of 1,l
417485,71,TRUE,1,30,7,NULL,
3490,76,FALSE,4,31,7,NULL,
591957,55,FALSE,1,32,8,0 of 1,f
997534,14,FALSE,4,33,8,0 of 2,l;a
510702,13,FALSE,1,35,8,0 of 2,b;f
257213,15,FALSE,2,36,9,0 of 1,l
371301,69,FALSE,2,37,9,0 of 2,b;a
576870,22,FALSE,1,38,9,NULL,
174099,67,FALSE,1,39,9,NULL,
813616,60,FALSE,4,40,10,0 of 1,f
600789,8,FALSE,3,42,10,NULL,
596054,26,FALSE,2,43,10,NULL,
271294,6,FALSE,4,44,11,0 of 1,a
928694,61,TRUE,2,45,11,0 of 2,a;b
657034,75,FALSE,2,46,11,0 of 2,l;f
163980,38,FALSE,2,47,11,0 of 1,b
426055,43,FALSE,1,49,12,0 of 1,b
972993,78,FALSE,1,50,12,NULL,
394849,62,FALSE,4,53,13,0 of 1,f
791319,32,FALSE,1,54,13,0 of 2,b;l
185218,7,FALSE,4,56,14,0 of 1,b
315584,58,FALSE,4,57,14,0 of 1,f
50382,65,FALSE,2,59,14,0 of 2,b;a
231194,52,FALSE,4,60,15,NULL,
977090,2,FALSE,4,61,15,0 of 1,b
974756,42,TRUE,1,62,15,NULL,
75190,51,FALSE,4,65,16,0 of 2,f;l
241843,72,TRUE,1,66,16,0 of 1,a
815802,48,FALSE,2,67,16,NULL,
709445,4,FALSE,1,68,17,NULL,
672395,39,FALSE,3,69,17,NULL,
297147,11,FALSE,3,70,17,NULL,
99099,12,FALSE,4,71,17,0 of 1,b
865578,64,TRUE,1,72,18,0 of 2,a;b
405731,46,FALSE,2,73,18,0 of 1,l
823262,56,FALSE,3,74,18,0 of 1,b
130336,68,FALSE,4,75,18,0 of 1,b
744050,31,FALSE,4,76,19,0 of 1,a
128983,40,FALSE,4,77,19,0 of 1,f
201733,57,FALSE,2,78,19,0 of 1,a
585536,74,FALSE,2,79,19,0 of 1,l
563182,36,TRUE,3,80,20,0 of 2,b;l
288604,77,FALSE,4,81,20,NULL,
361563,44,FALSE,3,82,20,NULL,
18221,16,FALSE,4,83,20,0 of 1,a
601261,10,FALSE,2,84,21,0 of 1,a
750491,0,TRUE,4,85,21,0 of 1,l
535646,70,FALSE,3,87,21,NULL,
783928,20,FALSE,1,88,22,NULL,
356372,33,FALSE,2,89,22,0 of 1,b
911352,63,FALSE,1,90,22,NULL,
632436,49,FALSE,3,91,22,0 of 2,a;b
566362,34,FALSE,1,93,23,NULL,
307986,25,FALSE,2,95,23,0 of 1,a
634820,19,FALSE,2,96,24,0 of 1,l
945112,79,FALSE,3,97,24,0 of 1,b
2828,27,FALSE,3,99,24,NULL,
