PID,StudentName,CID,TeamID
32874,24,00,0
177749,50,01,0
858687,17,02,0
18221,16,03,0
461173,41,04,1
632436,49,05,1
596054,26,06,1
307986,25,07,1
563182,36,08,2
510702,13,09,2
130336,68,10,2
634820,19,11,2
123172,18,12,3
807515,30,13,3
672395,39,14,3
709445,4,15,3
880390,35,16,4
585536,74,17,4
828141,82,18,4
783928,20,19,4
639930,88,20,5
591319,3,21,5
945112,79,22,5
58780,89,23,5
394849,62,24,6
815802,48,25,6
923574,5,26,6
566362,34,27,6
804130,29,28,7
928694,61,29,7
174099,67,30,7
257213,15,31,7
185218,7,32,8
912314,94,33,8
121833,98,34,8
361563,44,35,8
128983,40,36,9
411368,99,37,9
839507,45,38,9
601261,10,39,9
426055,43,40,10
633699,37,41,10
50382,65,42,10
865578,64,43,10
3490,76,44,11
791319,32,45,11
933787,1,46,11
832879,81,47,11
25775,83,48,12
103031,66,49,12
297147,11,50,12
288604,77,51,12
974756,42,52,13
657034,75,53,13
600789,8,54,13
665614,96,55,13
241843,72,56,14
943019,90,57,14
195948,73,58,14
977090,2,59,14
9039,97,60,15
755956,86,61,15
493552,54,62,15
75190,51,63,15
356372,33,64,16
643093,91,65,16
405731,46,66,16
2828,27,67,16
813616,60,68,17
417485,71,69,17
997534,14,70,17
670809,28,71,17
744050,31,72,18
163980,38,73,18
972993,78,74,18
271294,6,75,18
585475,84,76,19
182304,9,77,19
911352,63,78,19
535646,70,79,19
349578,53,80,20
879928,47,81,20
750491,0,82,20
126101,92,83,20
315584,58,84,21
231194,52,85,21
271466,80,86,21
128968,87,87,21
207612,23,88,22
993712,21,89,22
823262,56,90,22
371301,69,91,22
591957,55,92,23
99099,12,93,23
783718,93,94,23
127620,95,95,23
201733,57,96,24
576870,22,97,24
346099,85,98,24
908073,59,99,24
